id,raw_text,clean_text,detected_slang_terms,formal_translation,sentiment,confidence_label,source,platform,unknown_terms,quality_flags,training_ready
1,"Random post on YouTube - ""This is amazing!!""Typical response from modern youth - ""Fr""",random post on youtube - this is amazing. typical response from modern youth - fr,fr,Random post on youtube - this is amazing. typical response from modern youth - for real.,neutral,medium,local_urban_dictionary_api,urban_dictionary,amazing,contains_unknown_terms,True
2,Dan Howell's tired face is really hot okay ngl,dan howell's tired face is really hot okay ngl,ngl,Dan howell's tired face is really hot okay not going to lie.,neutral,medium,local_urban_dictionary_api,urban_dictionary,tired,contains_unknown_terms,True
3,"""What does IDK mean?"" ""I don't know""",what does idk mean? i don't know,idk,What does I do not know mean? i don't know.,neutral,high,local_urban_dictionary_api,urban_dictionary,,clean,True
4,"""This game sucks, IMO""","this game sucks, imo",imo,"This game sucks, in my opinion.",neutral,high,local_urban_dictionary_api,urban_dictionary,,clean,True
5,Engineer: we are gonna have the generator fixed RN,engineer we are gonna have the generator fixed rn,rn,Engineer we are gonna have the generator fixed right now.,neutral,medium,local_urban_dictionary_api,urban_dictionary,fixed,contains_unknown_terms,True
6,We waited on that album for 6 months but it was mid!,we waited on that album for 6 months but it was mid,mid,We waited on that album for 6 months but it was average or unimpressive.,negative,medium,local_urban_dictionary_api,urban_dictionary,waited,contains_unknown_terms,True
7,Bro #1: yo homie that girl is cooked as fuck. Bro #2: shits cooked.,bro 1 yo homie that girl is cooked as fuck. bro 2 shits cooked,cooked|bro,"He 1 yo homie that girl is in serious trouble, defeated, or exhausted as fuck. he 2 shits in serious trouble, defeated, or exhausted.",negative,high,local_urban_dictionary_api,urban_dictionary,,clean,True
8,"Person 1: are you from Tennessee cuz u the only ten i see ;) Person watching from a far:Damn, that nigga has no rizz","person 1 are you from tennessee cuz u the only ten i see person watching from a far damn, that nigga has no rizz",rizz,"Person 1 are you from tennessee cuz u the only ten i see person watching from a far damn, that nigga has no charisma or romantic charm.",positive,high,local_urban_dictionary_api,urban_dictionary,,clean,True
9,yo that’s cap i didn’t fuck the dog,yo that s cap i didn t fuck the dog,cap,Yo that s a lie or exaggeration i didn t fuck the dog.,negative,high,local_urban_dictionary_api,urban_dictionary,,clean,True
10,"I would only get perms because people who wear pullouts are fake, no cap.","i would only get perms because people who wear pullouts are fake, no cap",no cap,"I would only get perms because people who wear pullouts are fake, truthfully or without exaggeration.",positive,high,local_urban_dictionary_api,urban_dictionary,,clean,True
11,Damn you got 12 likes and his reply got 271 likes? He totally ratioed you bro,damn you got 12 likes and his reply got 271 likes? he totally ratioed you bro,ratioed|bro,Damn you got 12 likes and his reply got 271 likes? he totally publicly disagreed with or outperformed in responses you he.,negative,high,local_urban_dictionary_api,urban_dictionary,,clean,True
12,"The home team struggled but came out with the ""W.""",the home team struggled but came out with the w,w,The home team struggled but came out with the a successful outcome.,positive,medium,local_urban_dictionary_api,urban_dictionary,struggled,contains_unknown_terms,True
13,He just took that big L.,he just took that big l,l,He just took that big a poor outcome.,negative,medium,local_urban_dictionary_api,urban_dictionary,took,contains_unknown_terms,True
14,Yo that crack head down the street was tweaking fighting the air earlier tripping,yo that crack head down the street was tweaking fighting the air earlier tripping,tweaking,"Yo that crack head down the street was acting unusually, panicking, or overreacting fighting the air earlier tripping.",negative,medium,local_urban_dictionary_api,urban_dictionary,fighting|tripping,contains_unknown_terms,True
